ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60616,26,06/21/2020,06/27/2020,23,488,42,896,1109,6367,2036,11690.3,0.0,0.1,0,34,0.0,62.4,54464,60616-2020-26,POINT (-87.629531 41.844869)
60616,27,06/28/2020,07/04/2020,25,513,46,941.9,1186,7553,2178,13867.9,0.0,0.1,0,34,0.0,62.4,54464,60616-2020-27,POINT (-87.629531 41.844869)
60616,28,07/05/2020,07/11/2020,32,545,59,1000.7,1215,8768,2231,16098.7,0.0,0.1,0,34,0.0,62.4,54464,60616-2020-28,POINT (-87.629531 41.844869)
60619,12,03/21/2021,03/27/2021,62,4024,101,6568.9,1463,60238,2388,98334.9,0.0,0.1,2,122,3.3,199.2,61258,60619-2021-12,POINT (-87.60569 41.744737)
60619,13,03/28/2021,04/03/2021,120,4144,196,6764.8,1508,61746,2462,100796.6,0.1,0.1,0,122,0.0,199.2,61258,60619-2021-13,POINT (-87.60569 41.744737)
60616,29,07/12/2020,07/18/2020,24,569,44,1044.7,724,9492,1329,17428,0.0,0.1,0,34,0.0,62.4,54464,60616-2020-29,POINT (-87.629531 41.844869)
60616,42,10/11/2020,10/17/2020,76,987,140,1812.2,1509,24279,2771,44578.1,0.0,0.0,0,42,0.0,77.1,54464,60616-2020-42,POINT (-87.629531 41.844869)
60620,38,09/13/2020,09/19/2020,28,1682,41,2470,793,20685,1164,30376.2,0.0,0.1,0,75,0.0,110.1,68096,60620-2020-38,POINT (-87.651656 41.740873)
60632,10,03/07/2021,03/13/2021,64,12540,70,13774.3,1460,79497,1604,87321.9,0.0,0.2,1,192,1.1,210.9,91039,60632-2021-10,POINT (-87.711251 41.810038)
60632,11,03/14/2021,03/20/2021,64,12604,70,13844.6,1521,81018,1671,88992.6,0.1,0.2,1,193,1.1,212.0,91039,60632-2021-11,POINT (-87.711251 41.810038)
60632,12,03/21/2021,03/27/2021,110,12714,121,13965.4,1603,82621,1761,90753.4,0.1,0.2,1,194,1.1,213.1,91039,60632-2021-12,POINT (-87.711251 41.810038)
60632,13,03/28/2021,04/03/2021,114,12828,125,14090.7,1659,84280,1822,92575.7,0.1,0.2,1,195,1.1,214.2,91039,60632-2021-13,POINT (-87.711251 41.810038)
60632,14,04/04/2021,04/10/2021,108,12936,119,14209.3,1785,86065,1961,94536.4,0.1,0.2,0,195,0.0,214.2,91039,60632-2021-14,POINT (-87.711251 41.810038)
60632,23,06/06/2021,06/12/2021,8,13490,9,14817.8,1260,99456,1384,109245.5,0.0,0.2,1,203,1.1,223.0,91039,60632-2021-23,POINT (-87.711251 41.810038)
60632,5,01/31/2021,02/06/2021,110,12236,121,13440.4,1589,72428,1745,79557.1,0.1,0.2,1,183,1.1,201.0,91039,60632-2021-5,POINT (-87.711251 41.810038)
60633,43,10/18/2020,10/24/2020,48,487,373,3783.7,413,5129,3209,39849.3,0.1,0.1,0,6,0.0,46.6,12871,60633-2020-43,POINT (-87.556037 41.653147)
60633,44,10/25/2020,10/31/2020,55,542,427,4211,399,5528,3100,42949.3,0.2,0.1,0,6,0.0,46.6,12871,60633-2020-44,POINT (-87.556037 41.653147)
60633,45,11/01/2020,11/07/2020,83,625,645,4855.9,406,5934,3154,46103.6,0.2,0.1,0,6,0.0,46.6,12871,60633-2020-45,POINT (-87.556037 41.653147)
60633,46,11/08/2020,11/14/2020,90,715,699,5555.1,499,6433,3877,49980.6,0.2,0.1,1,7,7.8,54.4,12871,60633-2020-46,POINT (-87.556037 41.653147)
60633,47,11/15/2020,11/21/2020,89,804,692,6246.6,452,6885,3512,53492.3,0.2,0.1,1,8,7.8,62.2,12871,60633-2020-47,POINT (-87.556037 41.653147)
60633,48,11/22/2020,11/28/2020,59,863,458,6705,377,7262,2929,56421.4,0.2,0.1,1,9,7.8,69.9,12871,60633-2020-48,POINT (-87.556037 41.653147)
60633,50,12/06/2020,12/12/2020,52,1015,404,7885.9,383,8115,2976,63048.7,0.2,0.2,1,11,7.8,85.5,12871,60633-2020-50,POINT (-87.556037 41.653147)
60633,51,12/13/2020,12/19/2020,31,1046,241,8126.8,316,8431,2455,65503.8,0.1,0.2,0,11,0.0,85.5,12871,60633-2020-51,POINT (-87.556037 41.653147)
60633,52,12/20/2020,12/26/2020,14,1060,109,8235.6,186,8617,1445,66949,0.1,0.2,1,12,7.8,93.2,12871,60633-2020-52,POINT (-87.556037 41.653147)
60633,53,12/27/2020,01/02/2021,35,1095,272,8507.5,258,8875,2004,68953.5,0.1,0.2,0,12,0.0,93.2,12871,60633-2020-53,POINT (-87.556037 41.653147)
60633,1,01/03/2021,01/09/2021,34,1129,264,8771.7,297,9172,2308,71261,0.1,0.2,0,12,0.0,93.2,12871,60633-2021-1,POINT (-87.556037 41.653147)
60633,10,03/07/2021,03/13/2021,8,1253,62,9735.1,225,11242,1748,87343.6,0.1,0.1,0,15,0.0,116.5,12871,60633-2021-10,POINT (-87.556037 41.653147)
60633,11,03/14/2021,03/20/2021,5,1258,39,9773.9,199,11441,1546,88889.8,0.0,0.1,0,15,0.0,116.5,12871,60633-2021-11,POINT (-87.556037 41.653147)
60633,12,03/21/2021,03/27/2021,4,1262,31,9805,177,11618,1375,90264.9,0.0,0.1,0,15,0.0,116.5,12871,60633-2021-12,POINT (-87.556037 41.653147)
60633,13,03/28/2021,04/03/2021,6,1268,47,9851.6,187,11805,1453,91717.8,0.0,0.1,0,15,0.0,116.5,12871,60633-2021-13,POINT (-87.556037 41.653147)
60633,14,04/04/2021,04/10/2021,25,1293,194,10045.8,299,12104,2323,94040.9,0.1,0.1,0,15,0.0,116.5,12871,60633-2021-14,POINT (-87.556037 41.653147)
60633,15,04/11/2021,04/17/2021,17,1310,132,10177.9,283,12387,2199,96239.6,0.1,0.1,0,15,0.0,116.5,12871,60633-2021-15,POINT (-87.556037 41.653147)
60616,43,10/18/2020,10/24/2020,129,1116,237,2049.1,1919,26198,3523,48101.5,0.1,0.0,0,42,0.0,77.1,54464,60616-2020-43,POINT (-87.629531 41.844869)
60616,46,11/08/2020,11/14/2020,218,1683,400,3090.1,2447,33156,4493,60876.9,0.1,0.1,1,46,1.8,84.5,54464,60616-2020-46,POINT (-87.629531 41.844869)
60620,39,09/20/2020,09/26/2020,25,1707,37,2506.8,796,21481,1169,31545.2,0.0,0.1,2,77,2.9,113.1,68096,60620-2020-39,POINT (-87.651656 41.740873)
60621,5,01/31/2021,02/06/2021,19,1945,65,6697.2,621,22007,2138,75776.5,0.0,0.1,1,74,3.4,254.8,29042,60621-2021-5,POINT (-87.638812 41.776931)
60621,6,02/07/2021,02/13/2021,16,1961,55,6752.3,537,22544,1849,77625.5,0.0,0.1,0,74,0.0,254.8,29042,60621-2021-6,POINT (-87.638812 41.776931)
60621,7,02/14/2021,02/20/2021,7,1968,24,6776.4,491,23035,1691,79316.2,0.0,0.1,1,75,3.4,258.2,29042,60621-2021-7,POINT (-87.638812 41.776931)
60623,36,08/30/2020,09/05/2020,64,4244,74,4936.1,1147,24347,1334,28317.4,0.1,0.2,0,157,0.0,182.6,85979,60623-2020-36,POINT (-87.717446 41.850321)
60633,16,04/18/2021,04/24/2021,7,1317,54,10232.3,243,12630,1888,98127.6,0.0,0.1,0,15,0.0,116.5,12871,60633-2021-16,POINT (-87.556037 41.653147)
60633,21,05/23/2021,05/29/2021,2,1368,16,10628.5,196,13947,1523,108359.9,0.0,0.1,0,16,0.0,124.3,12871,60633-2021-21,POINT (-87.556037 41.653147)
60633,23,06/06/2021,06/12/2021,4,1378,31,10706.2,168,14250,1305,110714,0.0,0.1,0,16,0.0,124.3,12871,60633-2021-23,POINT (-87.556037 41.653147)
60633,3,01/17/2021,01/23/2021,20,1184,155,9199,237,9706,1841,75409.8,0.1,0.1,0,13,0.0,101.0,12871,60633-2021-3,POINT (-87.556037 41.653147)
60633,4,01/24/2021,01/30/2021,13,1197,101,9300,252,9958,1958,77367.7,0.1,0.1,0,13,0.0,101.0,12871,60633-2021-4,POINT (-87.556037 41.653147)
60633,5,01/31/2021,02/06/2021,13,1210,101,9401,187,10145,1453,78820.6,0.1,0.1,0,13,0.0,101.0,12871,60633-2021-5,POINT (-87.556037 41.653147)
60633,6,02/07/2021,02/13/2021,9,1219,70,9470.9,212,10357,1647,80467.7,0.1,0.1,1,14,7.8,108.8,12871,60633-2021-6,POINT (-87.556037 41.653147)
60633,7,02/14/2021,02/20/2021,10,1229,78,9548.6,242,10599,1880,82347.9,0.1,0.1,0,14,0.0,108.8,12871,60633-2021-7,POINT (-87.556037 41.653147)
60634,13,03/22/2020,03/28/2020,59,77,78,101.3,337,409,444,538.2,0.1,0.1,0,0,0.0,0.0,75995,60634-2020-13,POINT (-87.797373 41.944967)
60634,14,03/29/2020,04/04/2020,79,156,104,205.3,370,779,487,1025.1,0.2,0.2,4,4,5.3,5.3,75995,60634-2020-14,POINT (-87.797373 41.944967)
60634,15,04/05/2020,04/11/2020,99,255,130,335.5,472,1251,621,1646.2,0.2,0.2,3,7,3.9,9.2,75995,60634-2020-15,POINT (-87.797373 41.944967)
60634,16,04/12/2020,04/18/2020,123,378,162,497.4,615,1866,809,2455.4,0.2,0.2,5,12,6.6,15.8,75995,60634-2020-16,POINT (-87.797373 41.944967)
60634,17,04/19/2020,04/25/2020,178,556,234,731.6,758,2624,997,3452.9,0.2,0.2,6,18,7.9,23.7,75995,60634-2020-17,POINT (-87.797373 41.944967)
60634,18,04/26/2020,05/02/2020,222,778,292,1023.8,823,3447,1083,4535.8,0.3,0.2,5,23,6.6,30.3,75995,60634-2020-18,POINT (-87.797373 41.944967)
60634,19,05/03/2020,05/09/2020,209,987,275,1298.8,980,4427,1290,5825.4,0.3,0.2,4,27,5.3,35.5,75995,60634-2020-19,POINT (-87.797373 41.944967)
60634,20,05/10/2020,05/16/2020,158,1145,208,1506.7,1033,5460,1359,7184.7,0.2,0.2,6,33,7.9,43.4,75995,60634-2020-20,POINT (-87.797373 41.944967)
60634,21,05/17/2020,05/23/2020,127,1272,167,1673.8,1178,6638,1550,8734.8,0.2,0.2,3,36,3.9,47.4,75995,60634-2020-21,POINT (-87.797373 41.944967)
60616,47,11/15/2020,11/21/2020,189,1872,347,3437.1,2919,36075,5360,66236.4,0.1,0.1,2,48,3.7,88.1,54464,60616-2020-47,POINT (-87.629531 41.844869)
60621,8,02/21/2021,02/27/2021,7,1975,24,6800.5,588,23623,2025,81340.8,0.0,0.1,2,77,6.9,265.1,29042,60621-2021-8,POINT (-87.638812 41.776931)
60622,26,06/21/2020,06/27/2020,24,696,46,1318.4,969,6433,1836,12185.3,0.0,0.1,1,55,1.9,104.2,52793,60622-2020-26,POINT (-87.681818 41.902762)
60634,22,05/24/2020,05/30/2020,84,1356,110,1784.3,1136,7774,1495,10229.6,0.1,0.2,3,39,3.9,51.3,75995,60634-2020-22,POINT (-87.797373 41.944967)
60634,23,05/31/2020,06/06/2020,56,1412,74,1858,806,8580,1061,11290.2,0.1,0.2,1,40,1.3,52.6,75995,60634-2020-23,POINT (-87.797373 41.944967)
60634,24,06/07/2020,06/13/2020,44,1456,58,1915.9,930,9510,1224,12514,0.1,0.2,3,43,3.9,56.6,75995,60634-2020-24,POINT (-87.797373 41.944967)
60634,39,09/20/2020,09/26/2020,68,2559,90,3367.3,1376,28719,1811,37790.6,0.1,0.1,0,62,0.0,81.6,75995,60634-2020-39,POINT (-87.797373 41.944967)
60634,40,09/27/2020,10/03/2020,93,2652,122,3489.7,1450,30169,1908,39698.7,0.1,0.1,1,63,1.3,82.9,75995,60634-2020-40,POINT (-87.797373 41.944967)
60634,46,11/08/2020,11/14/2020,613,4911,807,6462.3,3436,45292,4521,59598.7,0.2,0.1,6,75,7.9,98.7,75995,60634-2020-46,POINT (-87.797373 41.944967)
60634,49,11/29/2020,12/05/2020,521,6305,686,8296.6,3056,54187,4021,71303.4,0.2,0.1,8,94,10.5,123.7,75995,60634-2020-49,POINT (-87.797373 41.944967)
60634,50,12/06/2020,12/12/2020,478,6783,629,8925.6,3326,57513,4377,75680,0.2,0.1,4,98,5.3,129.0,75995,60634-2020-50,POINT (-87.797373 41.944967)
60634,12,03/21/2021,03/27/2021,110,9627,145,12667.9,1914,90928,2519,119650,0.1,0.1,2,148,2.6,194.7,75995,60634-2021-12,POINT (-87.797373 41.944967)
60634,13,03/28/2021,04/03/2021,143,9770,188,12856.1,2196,93124,2890,122539.6,0.1,0.1,2,150,2.6,197.4,75995,60634-2021-13,POINT (-87.797373 41.944967)
60634,14,04/04/2021,04/10/2021,177,9947,233,13089,2372,95496,3121,125660.9,0.1,0.1,1,151,1.3,198.7,75995,60634-2021-14,POINT (-87.797373 41.944967)
60634,21,05/23/2021,05/29/2021,31,10523,41,13847,1460,109163,1921,143645,0.0,0.1,2,158,2.6,207.9,75995,60634-2021-21,POINT (-87.797373 41.944967)
60634,22,05/30/2021,06/05/2021,11,10534,14,13861.4,1185,110348,1559,145204.3,0.0,0.1,1,159,1.3,209.2,75995,60634-2021-22,POINT (-87.797373 41.944967)
60634,23,06/06/2021,06/12/2021,16,10550,21,13882.5,1173,111521,1544,146747.8,0.0,0.1,2,161,2.6,211.9,75995,60634-2021-23,POINT (-87.797373 41.944967)
60636,33,08/09/2020,08/15/2020,21,974,65,3024.6,482,7514,1497,23333.2,0.1,0.1,0,54,0.0,167.7,32203,60636-2020-33,POINT (-87.668597 41.77599)
60636,34,08/16/2020,08/22/2020,21,995,65,3089.8,452,7966,1404,24736.8,0.1,0.1,0,54,0.0,167.7,32203,60636-2020-34,POINT (-87.668597 41.77599)
60636,11,03/14/2021,03/20/2021,22,2870,68,8912.2,696,28458,2161,88370.6,0.0,0.1,0,96,0.0,298.1,32203,60636-2021-11,POINT (-87.668597 41.77599)
60636,12,03/21/2021,03/27/2021,34,2904,106,9017.8,701,29159,2177,90547.5,0.1,0.1,1,97,3.1,301.2,32203,60636-2021-12,POINT (-87.668597 41.77599)
60636,13,03/28/2021,04/03/2021,52,2956,162,9179.3,748,29907,2323,92870.2,0.1,0.1,0,97,0.0,301.2,32203,60636-2021-13,POINT (-87.668597 41.77599)
60636,14,04/04/2021,04/10/2021,77,3033,239,9418.4,906,30813,2813,95683.6,0.1,0.1,1,98,3.1,304.3,32203,60636-2021-14,POINT (-87.668597 41.77599)
60636,22,05/30/2021,06/05/2021,9,3453,28,10722.6,686,37930,2130,117784.1,0.0,0.1,1,106,3.1,329.2,32203,60636-2021-22,POINT (-87.668597 41.77599)
60636,23,06/06/2021,06/12/2021,9,3462,28,10750.6,743,38673,2307,120091.3,0.0,0.1,0,106,0.0,329.2,32203,60636-2021-23,POINT (-87.668597 41.77599)
60636,3,01/17/2021,01/23/2021,54,2687,168,8343.9,694,23114,2155,71775.9,0.1,0.1,3,89,9.3,276.4,32203,60636-2021-3,POINT (-87.668597 41.77599)
60636,4,01/24/2021,01/30/2021,44,2731,137,8480.6,777,23891,2413,74188.7,0.1,0.1,2,91,6.2,282.6,32203,60636-2021-4,POINT (-87.668597 41.77599)
60636,5,01/31/2021,02/06/2021,27,2758,84,8564.4,621,24512,1928,76117.1,0.1,0.1,1,92,3.1,285.7,32203,60636-2021-5,POINT (-87.668597 41.77599)
60606,35,08/23/2020,08/29/2020,4,63,129,2031.6,102,2141,3289,69042.2,0.0,0.1,0,1,0.0,32.2,3101,60606-2020-35,POINT (-87.63676 41.882634)
60606,36,08/30/2020,09/05/2020,2,65,64,2096.1,115,2256,3708,72750.7,0.1,0.1,0,1,0.0,32.2,3101,60606-2020-36,POINT (-87.63676 41.882634)
60606,37,09/06/2020,09/12/2020,1,66,32,2128.3,127,2383,4096,76846.2,0.0,0.1,0,1,0.0,32.2,3101,60606-2020-37,POINT (-87.63676 41.882634)
60606,38,09/13/2020,09/19/2020,3,69,97,2225.1,109,2492,3515,80361.2,0.0,0.1,0,1,0.0,32.2,3101,60606-2020-38,POINT (-87.63676 41.882634)
60616,49,11/29/2020,12/05/2020,170,2166,312,3976.9,2503,40668,4596,74669.5,0.1,0.1,5,53,9.2,97.3,54464,60616-2020-49,POINT (-87.629531 41.844869)
60616,50,12/06/2020,12/12/2020,127,2293,233,4210.1,2260,42928,4150,78819,0.1,0.1,1,54,1.8,99.1,54464,60616-2020-50,POINT (-87.629531 41.844869)
60616,51,12/13/2020,12/19/2020,210,2503,386,4595.7,2085,45013,3828,82647.3,0.1,0.1,2,56,3.7,102.8,54464,60616-2020-51,POINT (-87.629531 41.844869)
60616,52,12/20/2020,12/26/2020,133,2636,244,4839.9,1784,46797,3276,85922.8,0.1,0.1,7,63,12.9,115.7,54464,60616-2020-52,POINT (-87.629531 41.844869)
60616,53,12/27/2020,01/02/2021,132,2768,242,5082.3,1684,48481,3092,89014.8,0.1,0.1,7,70,12.9,128.5,54464,60616-2020-53,POINT (-87.629531 41.844869)
60616,1,01/03/2021,01/09/2021,142,2910,261,5343,1990,50471,3654,92668.6,0.1,0.1,7,77,12.9,141.4,54464,60616-2021-1,POINT (-87.629531 41.844869)
60616,10,03/07/2021,03/13/2021,23,3350,42,6150.9,1636,64078,3004,117652,0.0,0.1,0,88,0.0,161.6,54464,60616-2021-10,POINT (-87.629531 41.844869)
60616,15,04/11/2021,04/17/2021,53,3641,97,6685.1,2152,73195,3951,134391.5,0.0,0.1,0,90,0.0,165.2,54464,60616-2021-15,POINT (-87.629531 41.844869)
60623,37,09/06/2020,09/12/2020,46,4290,54,4989.6,900,25247,1047,29364.1,0.1,0.2,0,157,0.0,182.6,85979,60623-2020-37,POINT (-87.717446 41.850321)
60636,6,02/07/2021,02/13/2021,30,2788,93,8657.6,683,25195,2121,78238.1,0.0,0.1,2,94,6.2,291.9,32203,60636-2021-6,POINT (-87.668597 41.77599)
60636,7,02/14/2021,02/20/2021,15,2803,47,8704.2,518,25713,1608,79846.6,0.0,0.1,0,94,0.0,291.9,32203,60636-2021-7,POINT (-87.668597 41.77599)
60636,8,02/21/2021,02/27/2021,14,2817,44,8747.6,679,26392,2108,81955.1,0.0,0.1,0,94,0.0,291.9,32203,60636-2021-8,POINT (-87.668597 41.77599)
60636,9,02/28/2021,03/06/2021,11,2828,34,8781.8,666,27058,2068,84023.2,0.0,0.1,0,94,0.0,291.9,32203,60636-2021-9,POINT (-87.668597 41.77599)
60637,21,05/17/2020,05/23/2020,56,546,118,1150.6,662,3824,1395,8058.3,0.1,0.1,0,16,0.0,33.7,47454,60637-2020-21,POINT (-87.604053 41.780991)
60637,22,05/24/2020,05/30/2020,34,580,72,1222.2,625,4449,1317,9375.4,0.1,0.1,3,19,6.3,40.0,47454,60637-2020-22,POINT (-87.604053 41.780991)
60606,39,09/20/2020,09/26/2020,2,71,64,2289.6,126,2618,4063,84424.4,0.0,0.1,0,1,0.0,32.2,3101,60606-2020-39,POINT (-87.63676 41.882634)
60616,17,04/25/2021,05/01/2021,45,3744,83,6874.3,1821,77092,3344,141546.7,0.0,0.1,1,92,1.8,168.9,54464,60616-2021-17,POINT (-87.629531 41.844869)
60616,18,05/02/2021,05/08/2021,40,3784,73,6947.7,1791,78883,3288,144835.1,0.0,0.1,2,94,3.7,172.6,54464,60616-2021-18,POINT (-87.629531 41.844869)
60616,2,01/10/2021,01/16/2021,91,3001,167,5510.1,2119,52590,3891,96559.2,0.1,0.1,4,81,7.3,148.7,54464,60616-2021-2,POINT (-87.629531 41.844869)
60616,3,01/17/2021,01/23/2021,95,3096,174,5684.5,1809,54399,3322,99880.7,0.1,0.1,2,83,3.7,152.4,54464,60616-2021-3,POINT (-87.629531 41.844869)
60623,38,09/13/2020,09/19/2020,82,4372,95,5085,1155,26402,1343,30707.5,0.1,0.2,1,158,1.2,183.8,85979,60623-2020-38,POINT (-87.717446 41.850321)
60637,23,05/31/2020,06/06/2020,19,599,40,1262.3,483,4932,1018,10393.2,0.0,0.1,2,21,4.2,44.3,47454,60637-2020-23,POINT (-87.604053 41.780991)
60637,24,06/07/2020,06/13/2020,16,615,34,1296,642,5574,1353,11746.1,0.0,0.1,3,24,6.3,50.6,47454,60637-2020-24,POINT (-87.604053 41.780991)
60637,25,06/14/2020,06/20/2020,12,627,25,1321.3,625,6199,1317,13063.2,0.0,0.1,0,24,0.0,50.6,47454,60637-2020-25,POINT (-87.604053 41.780991)
60637,37,09/06/2020,09/12/2020,12,876,25,1846,750,15589,1580,32850.8,0.0,0.1,0,28,0.0,59.0,47454,60637-2020-37,POINT (-87.604053 41.780991)
60637,46,11/08/2020,11/14/2020,195,1533,411,3230.5,5299,50573,11167,106572.7,0.0,0.0,1,32,2.1,67.4,47454,60637-2020-46,POINT (-87.604053 41.780991)
60637,49,11/29/2020,12/05/2020,171,2045,360,4309.4,3194,62479,6731,131662.2,0.1,0.0,1,37,2.1,78.0,47454,60637-2020-49,POINT (-87.604053 41.780991)
60637,50,12/06/2020,12/12/2020,122,2167,257,4566.5,3042,65521,6410,138072.7,0.0,0.0,3,40,6.3,84.3,47454,60637-2020-50,POINT (-87.604053 41.780991)
60637,51,12/13/2020,12/19/2020,101,2268,213,4779.4,1994,67515,4202,142274.6,0.1,0.0,1,41,2.1,86.4,47454,60637-2020-51,POINT (-87.604053 41.780991)
