case,date,descrip,lat,long
JE131940,02/04/2021 04:54:00 AM,ARSON,41.755797128,-87.634426259
JD425617,11/09/2020 02:42:00 AM,ARSON,41.875806202,-87.750872705
JD388946,10/04/2020 11:06:00 PM,ARSON,41.922678588,-87.692785789
JD363356,09/11/2020 03:04:00 AM,ARSON,41.94042157,-87.765024018
JE172536,03/18/2021 02:55:00 PM,ARSON,41.751839536,-87.645287587
JE145526,02/19/2021 07:02:00 AM,ARSON,41.875489041,-87.716411772
JE108071,01/09/2021 03:59:00 PM,ARSON,41.973401006,-87.672165851
JD468109,12/23/2020 11:15:00 PM,ARSON,41.750535224,-87.612487858
JE121691,01/24/2021 05:38:00 AM,ARSON,41.679809448,-87.625870438
JD459274,12/14/2020 08:05:00 PM,ARSON,41.940391865,-87.767343558
JE240697,05/24/2021 07:20:00 AM,ARSON,41.778404375,-87.681046922
JE107511,01/09/2021 12:10:00 AM,ARSON,41.884640368,-87.729176985
JD383799,09/30/2020 01:25:00 AM,ARSON,41.718559011,-87.537701535
JD383800,09/30/2020 01:35:00 AM,ARSON,41.71411303,-87.536485442
JD376040,09/22/2020 08:35:00 PM,ARSON,41.707082916,-87.629944204
JD341934,08/23/2020 01:24:00 AM,ARSON,41.803086304,-87.670464763
JD333016,08/15/2020 02:31:00 AM,ARSON,41.70745842,-87.538915118
JD383786,09/30/2020 01:26:00 AM,ARSON,41.720515598,-87.536497921
JD383812,09/30/2020 01:35:00 AM,ARSON,41.709585083,-87.537698669
JE172106,03/18/2021 05:34:00 AM,ARSON,41.698467221,-87.532866763
JE108630,12/09/2020 08:30:00 AM,ARSON,41.696706807,-87.543785592
JE122414,01/24/2021 11:46:00 PM,ARSON,41.972364558,-87.656304974
JD455690,12/10/2020 10:25:00 PM,ARSON,41.892860829,-87.771068926
JD350113,08/30/2020 02:50:00 AM,ARSON,41.770687913,-87.576421392
JD390486,10/06/2020 12:13:00 PM,ARSON,41.713812865,-87.626061724
JD391107,10/06/2020 10:03:00 PM,ARSON,41.702445808,-87.618510837
JD390515,10/06/2020 12:43:00 PM,ARSON,41.708255032,-87.629543225
JD468947,12/25/2020 01:12:00 AM,ARSON,41.877583684,-87.683222911
JD377250,09/24/2020 12:07:00 AM,ARSON,41.788089835,-87.701827714
JD444375,11/28/2020 04:24:00 PM,ARSON,41.736711088,-87.663087144
JD375480,09/22/2020 11:45:00 AM,ARSON,41.862051574,-87.645590407
JD372334,09/16/2020 04:00:00 PM,ARSON,41.765517651,-87.567721526
JD444224,11/28/2020 04:30:00 PM,ARSON,41.736823619,-87.663089637
JD385220,10/01/2020 09:30:00 AM,ARSON,41.804203462,-87.673365444
JE106713,01/07/2021 05:30:00 PM,ARSON,41.816229907,-87.606696541
JE133936,02/06/2021 05:34:00 AM,ARSON,41.874223242,-87.736005434
JD355642,09/03/2020 10:43:00 PM,ARSON,41.793818131,-87.629290056
JE120651,01/22/2021 11:30:00 PM,ARSON,41.83339663,-87.717770196
JE207256,04/22/2021 10:40:00 PM,ARSON,41.785758794,-87.791336594
JD388156,10/04/2020 07:10:00 AM,ARSON,41.789074063,-87.704652563
JE190826,04/06/2021 05:18:00 AM,ARSON,41.675599058,-87.629800274
JE190774,04/06/2021 01:20:00 AM,ARSON,41.675257823,-87.638215633
JE134972,02/07/2021 02:00:00 AM,ARSON,41.717146527,-87.639452981
JD384679,09/30/2020 08:53:00 PM,ARSON,41.854855548,-87.651474466
JE146581,02/20/2021 02:07:00 AM,ARSON,41.764023607,-87.681900034
JE191645,04/06/2021 08:16:00 PM,ARSON,41.899976594,-87.720121179
JE123996,01/26/2021 05:30:00 AM,ARSON,41.972364558,-87.656304974
JE190832,04/06/2021 05:52:00 AM,ARSON,41.769347851,-87.674254365
JD458975,12/14/2020 03:31:00 PM,ARSON,41.874906302,-87.750374167
JE108759,01/10/2021 11:36:00 AM,ARSON,41.947109969,-87.720871721
JE161010,03/06/2021 03:08:00 PM,ARSON,41.786184976,-87.648598206
JE110136,01/11/2021 07:55:00 PM,ARSON,41.771435723,-87.636041807
JE227265,05/11/2021 11:15:00 PM,ARSON,41.838549393,-87.702418096
JE125193,01/27/2021 11:45:00 PM,ARSON,41.907309809,-87.713082085
JE148136,02/21/2021 05:45:00 PM,ARSON,41.879496951,-87.627083503
JE173901,03/19/2021 10:53:00 PM,ARSON,41.936966207,-87.796886988
JE182050,03/28/2021 07:00:00 AM,ARSON,41.756699466,-87.608647554
JE149548,01/16/2021 07:47:00 AM,ARSON,41.878229659,-87.626726587
JE149549,02/21/2021 01:28:00 PM,ARSON,41.877661886,-87.627665516
JD363391,09/11/2020 05:07:00 AM,ARSON,41.902698633,-87.723166088
JE125239,01/28/2021 01:50:00 AM,ARSON,41.941522892,-87.743971316
