case_number,date_of_occurrence,primary_description,latitude,longitude
JD396427,10/12/2020 05:30:00 AM,HOMICIDE,41.736886394,-87.624170849
JD281693,07/01/2020 02:30:00 AM,HOMICIDE,41.653409417,-87.604870291
JD472075,12/28/2020 10:11:00 PM,HOMICIDE,41.742292072,-87.641172
JE206109,04/21/2021 07:09:00 PM,HOMICIDE,41.861806701,-87.7165066
JD429677,11/12/2020 09:57:00 PM,HOMICIDE,41.778567563,-87.730514586
JD418958,11/02/2020 08:36:00 PM,HOMICIDE,41.876581037,-87.745137513
JD412156,11/16/2020 11:58:00 PM,HOMICIDE,41.852449912,-87.659094296
JD354205,09/02/2020 08:33:00 PM,HOMICIDE,41.912837014,-87.694618314
JE206208,04/21/2021 10:12:00 PM,HOMICIDE,41.671884383,-87.630887549
JE118554,01/20/2021 09:35:00 PM,HOMICIDE,41.803254369,-87.743035853
JE130684,02/02/2021 07:14:00 PM,HOMICIDE,41.795042969,-87.663396549
JE202499,04/18/2021 03:40:00 AM,HOMICIDE,41.872899368,-87.694491036
JD417270,11/04/2020 04:07:00 PM,HOMICIDE,41.85836391,-87.666164631
JD410860,10/25/2020 07:25:00 PM,HOMICIDE,41.854550802,-87.712417497
JD472972,12/29/2020 07:24:00 PM,HOMICIDE,41.894860993,-87.764304185
JD461201,12/16/2020 11:43:00 PM,HOMICIDE,41.65364899,-87.614590067
JD344930,08/25/2020 06:00:00 PM,HOMICIDE,41.882752232,-87.77187732
JD400594,10/15/2020 07:28:00 PM,HOMICIDE,41.680465342,-87.617890221
JD388515,10/14/2020 02:34:00 PM,HOMICIDE,41.788576831,-87.663764559
JD275420,06/25/2020 03:00:00 AM,HOMICIDE,41.765141254,-87.64851777
JD435188,11/18/2020 04:45:00 PM,HOMICIDE,41.875002927,-87.720440743
JD420526,11/04/2020 11:24:00 AM,HOMICIDE,41.893844693,-87.770799522
JD272037,06/22/2020 04:45:00 AM,HOMICIDE,41.878938232,-87.693777272
JE119606,01/21/2021 11:35:00 PM,HOMICIDE,41.862942242,-87.707270181
JE144350,02/17/2021 09:31:00 PM,HOMICIDE,41.878458449,-87.745204753
JE119595,01/21/2021 10:28:00 PM,HOMICIDE,41.783234302,-87.610867758
JD399982,10/15/2020 04:54:00 PM,HOMICIDE,41.886560206,-87.716062887
JD399816,10/15/2020 01:06:00 AM,HOMICIDE,41.818572848,-87.608328247
JD399115,10/14/2020 01:36:00 PM,HOMICIDE,41.790447217,-87.660268809
JD398293,10/13/2020 05:24:00 PM,HOMICIDE,41.89810642,-87.718842458
JD398407,10/15/2020 11:27:00 AM,HOMICIDE,41.766873316,-87.566484757
JD366424,09/14/2020 12:12:00 AM,HOMICIDE,41.759776965,-87.606655704
JE131727,02/03/2021 08:05:00 PM,HOMICIDE,41.784001741,-87.688649725
JD474021,12/30/2020 09:38:00 PM,HOMICIDE,41.773405326,-87.625143469
JD473196,12/30/2020 01:28:00 AM,HOMICIDE,41.831017261,-87.676627273
JD452853,12/08/2020 08:49:00 AM,HOMICIDE,41.873805186,-87.694529748
JD401830,10/16/2020 11:19:00 PM,HOMICIDE,41.862830527,-87.717058439
JD310610,07/26/2020 01:35:00 PM,HOMICIDE,41.886818932,-87.726504928
JD437080,11/20/2020 05:17:00 PM,HOMICIDE,41.780145233,-87.631841116
JE206227,04/21/2021 10:44:00 PM,HOMICIDE,41.675947334,-87.617757237
JD437237,11/20/2020 08:55:00 PM,HOMICIDE,41.744008135,-87.566119307
JD401972,10/17/2020 05:13:00 AM,HOMICIDE,41.895420644,-87.720539406
JD397606,10/17/2020 01:51:00 PM,HOMICIDE,41.721550479,-87.573404895
JD402446,10/17/2020 03:27:00 PM,HOMICIDE,41.859844244,-87.716448371
JD397606,10/13/2020 01:07:00 AM,HOMICIDE,41.721550479,-87.573404895
JD438266,11/21/2020 10:54:00 PM,HOMICIDE,41.751125394,-87.546827767
JD461462,12/17/2020 09:52:00 AM,HOMICIDE,41.812596485,-87.705365334
JD437398,11/21/2020 10:38:00 AM,HOMICIDE,41.883299637,-87.768225952
JD358095,09/06/2020 02:57:00 AM,HOMICIDE,41.884533356,-87.680056674
JD302712,07/19/2020 12:22:00 PM,HOMICIDE,41.87749995,-87.760253841
JD379909,09/26/2020 11:36:00 AM,HOMICIDE,41.884828707,-87.754011429
JD294328,07/11/2020 10:18:00 PM,HOMICIDE,41.748618411,-87.595425023
JD403563,10/18/2020 09:26:00 PM,HOMICIDE,41.88492126,-87.701315736
JD462566,12/18/2020 03:31:00 PM,HOMICIDE,41.76625521,-87.574655369
JB566543,12/22/2020 08:40:00 PM,HOMICIDE,41.75894258,-87.634505751
JD324667,08/08/2020 04:02:00 AM,HOMICIDE,41.919471104,-87.767036103
JE190673,04/05/2021 10:45:00 PM,HOMICIDE,41.793667944,-87.663843592
JD401856,10/17/2020 12:20:00 AM,HOMICIDE,41.938191875,-87.793745249
JE120598,01/22/2021 09:56:00 PM,HOMICIDE,41.678980773,-87.619674748
JE120562,01/22/2021 08:42:00 PM,HOMICIDE,41.774341163,-87.733626318
JD305635,07/21/2020 11:15:00 PM,HOMICIDE,41.671647143,-87.64657781
JD403502,10/18/2020 04:39:00 PM,HOMICIDE,41.89831824,-87.705242471
JD403067,10/18/2020 06:29:00 PM,HOMICIDE,41.888657457,-87.7492392
JD474113,12/31/2020 01:13:00 AM,HOMICIDE,41.895637548,-87.773784621
JE108294,01/09/2021 08:55:00 PM,HOMICIDE,41.877826291,-87.701117596
JE224145,05/08/2021 10:39:00 PM,HOMICIDE,41.873761627,-87.699545765
JD439599,11/23/2020 02:43:00 PM,HOMICIDE,41.873627443,-87.735948562
JE142769,02/18/2021 11:24:00 AM,HOMICIDE,41.742042705,-87.672939733
JE119998,01/22/2021 12:06:00 PM,HOMICIDE,41.880628389,-87.733911427
JD463213,12/19/2020 03:26:00 AM,HOMICIDE,41.735873465,-87.657361909
JD404202,10/19/2020 01:41:00 PM,HOMICIDE,41.765651252,-87.624909847
JE100162,01/01/2021 03:48:00 AM,HOMICIDE,41.808890677,-87.616576757
JE100715,01/01/2021 06:06:00 PM,HOMICIDE,41.885720773,-87.747018429
JE190465,04/05/2021 09:12:00 PM,HOMICIDE,41.782601671,-87.665505994
JD440104,11/24/2020 12:12:00 AM,HOMICIDE,41.880238942,-87.76527117
JD463716,12/19/2020 04:01:00 PM,HOMICIDE,41.770620668,-87.58500756
JE158218,03/04/2021 02:10:00 AM,HOMICIDE,41.743528216,-87.632767488
JD440223,11/24/2020 05:19:00 AM,HOMICIDE,41.747522203,-87.578338939
JD366417,09/14/2020 12:00:00 AM,HOMICIDE,41.884957307,-87.725791743
JE101671,01/02/2021 09:55:00 PM,HOMICIDE,41.858213965,-87.704772409
JE240540,05/24/2021 03:06:00 PM,HOMICIDE,41.917838056,-87.755968972
JD464227,12/20/2020 11:15:00 AM,HOMICIDE,41.866900866,-87.710557793
JD463816,12/20/2020 08:20:00 PM,HOMICIDE,41.864860663,-87.693363237
JD464783,12/20/2020 08:34:00 PM,HOMICIDE,41.697440638,-87.647409294
JD404866,10/21/2020 03:49:00 PM,HOMICIDE,41.811234791,-87.668689739
JD279637,06/29/2020 02:22:00 AM,HOMICIDE,41.813011456,-87.700471492
JD400875,10/16/2020 04:56:00 AM,HOMICIDE,41.780725036,-87.661818721
JE121437,01/23/2021 07:54:00 PM,HOMICIDE,41.673689531,-87.628543613
JE108328,01/23/2021 10:25:00 PM,HOMICIDE,41.972643293,-87.661711479
JD407328,10/22/2020 12:32:00 PM,HOMICIDE,41.75772549,-87.609028176
JD407759,10/22/2020 05:53:00 PM,HOMICIDE,41.694954571,-87.62796366
JD292249,07/10/2020 06:06:00 AM,HOMICIDE,41.794734948,-87.690170419
JD443247,11/27/2020 04:51:00 PM,HOMICIDE,41.886493289,-87.700242574
JD375982,09/22/2020 09:51:00 PM,HOMICIDE,41.707091837,-87.629160391
JD464945,12/21/2020 01:24:00 AM,HOMICIDE,41.794957148,-87.667042665
JD271655,06/21/2020 07:49:00 PM,HOMICIDE,41.895865302,-87.723649858
JD383120,09/29/2020 12:44:00 PM,HOMICIDE,41.886032227,-87.756497813
JD442787,11/27/2020 04:46:00 AM,HOMICIDE,41.895420644,-87.720539406
JD334802,08/16/2020 01:50:00 PM,HOMICIDE,41.813626387,-87.701008346
JD443510,11/27/2020 08:23:00 PM,HOMICIDE,41.877107832,-87.724063179
JD442756,11/27/2020 12:59:00 AM,HOMICIDE,41.750366286,-87.66300375
JD442829,11/27/2020 03:15:00 AM,HOMICIDE,41.769491841,-87.689484191
JE108294,01/09/2021 09:07:00 PM,HOMICIDE,41.877826291,-87.701117596
JD302372,07/19/2020 03:08:00 AM,HOMICIDE,41.888523255,-87.627164044
JE240575,05/24/2021 01:54:00 AM,HOMICIDE,41.884530833,-87.738685729
JD365408,09/12/2020 11:28:00 PM,HOMICIDE,41.701863205,-87.542561687
JE100022,01/03/2021 09:28:00 PM,HOMICIDE,41.736660376,-87.54445421
JE102438,01/03/2021 08:09:00 PM,HOMICIDE,41.771062488,-87.586270811
