case_number,date_of_occurrence,primary_description,latitude,longitude
JD366570,09/14/2020 06:05:00 AM,HOMICIDE,41.895614042,-87.701037693
JE141194,02/14/2021 12:37:00 AM,HOMICIDE,41.912925057,-87.773538131
JD461629,12/17/2020 12:21:00 PM,HOMICIDE,41.964079335,-87.729519111
JE175526,03/21/2021 06:40:00 PM,HOMICIDE,41.824933076,-87.623104662
JE242183,05/25/2021 07:01:00 PM,HOMICIDE,41.758273773,-87.554811094
JE165280,03/10/2021 07:46:00 PM,HOMICIDE,41.779691346,-87.724010936
JE141440,02/14/2021 11:55:00 AM,HOMICIDE,41.748737209,-87.600264583
JE165303,03/10/2021 08:43:00 PM,HOMICIDE,41.852093206,-87.729641193
JE164994,03/10/2021 06:01:00 PM,HOMICIDE,41.750503234,-87.587271496
JD386844,10/02/2020 10:05:00 PM,HOMICIDE,41.781000384,-87.689299416
JE142625,02/15/2021 06:11:00 PM,HOMICIDE,41.771105569,-87.61804966
JE152400,02/25/2021 08:34:00 PM,HOMICIDE,41.884830727,-87.752781167
JE226157,05/11/2021 01:29:00 AM,HOMICIDE,41.894264459,-87.753129146
JE194870,04/09/2021 09:43:00 PM,HOMICIDE,41.826358446,-87.633116323
JE227075,05/11/2021 07:20:00 PM,HOMICIDE,41.991057238,-87.699420817
JE153463,02/26/2021 09:16:00 PM,HOMICIDE,41.778532435,-87.697030655
JE176509,03/22/2021 04:55:00 PM,HOMICIDE,41.809351171,-87.618691752
JE176559,03/22/2021 05:59:00 PM,HOMICIDE,41.876952748,-87.736336193
JE153504,02/27/2021 11:51:00 AM,HOMICIDE,41.692358646,-87.623096746
JE227114,05/11/2021 08:15:00 PM,HOMICIDE,41.857180265,-87.711995618
JE164965,03/10/2021 02:56:00 PM,HOMICIDE,41.827094923,-87.62167185
JE154725,02/28/2021 04:31:00 AM,HOMICIDE,41.727992013,-87.642175432
JE176747,03/23/2021 12:23:00 AM,HOMICIDE,41.750832464,-87.605224746
JE154611,02/28/2021 12:30:00 AM,HOMICIDE,41.729078381,-87.621879137
JE155328,03/01/2021 02:54:00 AM,HOMICIDE,41.781874364,-87.587864899
JE154928,02/28/2021 11:47:00 AM,HOMICIDE,41.906298225,-87.773078049
JD303327,07/20/2020 12:16:00 AM,HOMICIDE,41.687366059,-87.648307118
JE177040,03/23/2021 07:38:00 AM,HOMICIDE,41.862819868,-87.718141518
JE168295,03/13/2021 10:15:00 PM,HOMICIDE,41.904419476,-87.729956677
JE174942,03/23/2021 12:23:00 PM,HOMICIDE,41.962472905,-87.757077358
JE177363,03/23/2021 01:12:00 PM,HOMICIDE,41.727123578,-87.629315348
JD430446,11/13/2020 04:25:00 PM,HOMICIDE,41.786456541,-87.629058932
JD304212,07/20/2020 06:18:00 PM,HOMICIDE,41.857655711,-87.676608095
JD304324,07/20/2020 08:02:00 PM,HOMICIDE,41.865585015,-87.697787226
JE241847,05/25/2021 02:51:00 AM,HOMICIDE,41.869565231,-87.743241256
JE177954,03/24/2021 01:36:00 AM,HOMICIDE,41.762385599,-87.666177499
JE168486,03/14/2021 04:55:00 AM,HOMICIDE,41.771889629,-87.613964461
JE168523,03/14/2021 07:57:00 AM,HOMICIDE,41.911531291,-87.767999047
JE168486,03/14/2021 04:55:00 AM,HOMICIDE,41.771889629,-87.613964461
JE178376,03/24/2021 01:58:00 PM,HOMICIDE,41.740486959,-87.648607569
JD379655,09/26/2020 05:06:00 AM,HOMICIDE,41.884747682,-87.75645061
JD358144,09/06/2020 04:00:00 AM,HOMICIDE,41.864278228,-87.659660218
JE195766,04/11/2021 01:53:00 AM,HOMICIDE,41.84894297,-87.733341125
JE190306,04/05/2021 04:33:00 PM,HOMICIDE,41.675219383,-87.638212387
JE195887,04/11/2021 12:52:00 AM,HOMICIDE,41.772924892,-87.57647941
JE169446,03/15/2021 02:25:00 PM,HOMICIDE,41.895773967,-87.764130796
JE209297,04/25/2021 01:10:00 AM,HOMICIDE,41.90086502,-87.724112886
JE208468,04/25/2021 09:48:00 AM,HOMICIDE,41.879784857,-87.723806409
JE210069,04/25/2021 11:07:00 PM,HOMICIDE,41.707359384,-87.610809656
JD304453,07/20/2020 10:56:00 PM,HOMICIDE,41.87579351,-87.723062233
JE227631,05/12/2021 12:27:00 PM,HOMICIDE,41.88100737,-87.703205068
JE197584,04/12/2021 07:33:00 PM,HOMICIDE,41.801416311,-87.619388748
JE178971,03/25/2021 03:54:00 AM,HOMICIDE,41.75667207,-87.562688288
JE258289,06/08/2021 12:58:00 PM,HOMICIDE,41.82524995,-87.631348961
JD464968,12/21/2020 03:30:00 AM,HOMICIDE,41.900253905,-87.690541532
JD303327,07/20/2020 12:23:00 AM,HOMICIDE,41.687366059,-87.648307118
JE243607,05/26/2021 02:22:00 PM,HOMICIDE,41.756618673,-87.574871497
JE156432,03/22/2021 08:10:00 PM,HOMICIDE,41.663403306,-87.625793875
JE243862,05/26/2021 06:00:00 PM,HOMICIDE,41.688064408,-87.6223129
JE229283,05/13/2021 09:24:00 PM,HOMICIDE,41.807577988,-87.615549695
JE229019,05/13/2021 04:24:00 PM,HOMICIDE,41.751268534,-87.606048047
JE179906,03/26/2021 12:08:00 AM,HOMICIDE,41.749995382,-87.685900777
JD274334,06/24/2020 05:18:00 AM,HOMICIDE,41.748246374,-87.634233322
JD440137,11/24/2020 12:49:00 AM,HOMICIDE,41.751452878,-87.624567581
JE180555,03/26/2021 07:51:00 PM,HOMICIDE,41.68075847,-87.621785651
JE161149,03/06/2021 05:14:00 PM,HOMICIDE,41.79841494,-87.700032005
JE197974,04/13/2021 09:12:00 AM,HOMICIDE,41.669920375,-87.559258528
JE198622,04/13/2021 07:17:00 PM,HOMICIDE,41.738324952,-87.614980373
JE210794,04/26/2021 04:30:00 PM,HOMICIDE,41.825085871,-87.621631728
JE242582,05/26/2021 12:44:00 AM,HOMICIDE,41.937005129,-87.657653071
JE198861,04/14/2021 02:53:00 AM,HOMICIDE,41.760798006,-87.634551594
JE199483,04/14/2021 05:00:00 PM,HOMICIDE,41.861847377,-87.712849844
JE198861,04/14/2021 03:05:00 AM,HOMICIDE,41.760798006,-87.634551594
JD269991,06/24/2020 06:50:00 AM,HOMICIDE,41.840301624,-87.712239664
JD302966,07/19/2020 04:45:00 PM,HOMICIDE,41.79816307,-87.74291021
JE199141,04/14/2021 11:46:00 AM,HOMICIDE,41.919794616,-87.771442491
JD422184,11/05/2020 07:48:00 PM,HOMICIDE,41.755554244,-87.653867946
JE182440,03/28/2021 05:26:00 PM,HOMICIDE,41.915479464,-87.715641007
JE182514,03/28/2021 06:42:00 PM,HOMICIDE,41.677325876,-87.616577916
JE181828,03/28/2021 12:11:00 AM,HOMICIDE,41.707455731,-87.605637491
JE200533,04/15/2021 11:59:00 PM,HOMICIDE,41.844200287,-87.728518962
JD393309,11/23/2020 05:05:00 PM,HOMICIDE,41.763335387,-87.61523662
JE229957,05/14/2021 03:03:00 PM,HOMICIDE,41.749869687,-87.665852691
JD334174,08/16/2020 05:28:00 AM,HOMICIDE,41.939205595,-87.718113566
JE212290,04/27/2021 09:40:00 PM,HOMICIDE,41.740861086,-87.740060732
JE212327,04/27/2021 10:58:00 PM,HOMICIDE,41.742813094,-87.647512893
JE178815,03/26/2021 01:40:00 PM,HOMICIDE,41.928350067,-87.761224794
JE211329,04/27/2021 03:08:00 AM,HOMICIDE,41.809523402,-87.63826257
JE244264,05/27/2021 02:05:00 AM,HOMICIDE,41.758896441,-87.574456169
JE201157,04/16/2021 02:47:00 PM,HOMICIDE,41.691640675,-87.626381549
JE201462,04/16/2021 08:02:00 PM,HOMICIDE,41.858965439,-87.715818083
JE230612,05/15/2021 03:55:00 AM,HOMICIDE,41.751644163,-87.658618398
JD336779,08/18/2020 02:27:00 PM,HOMICIDE,41.724494263,-87.643297231
JE230631,05/15/2021 04:56:00 AM,HOMICIDE,41.874850606,-87.735272577
JD359870,09/07/2020 07:08:00 PM,HOMICIDE,41.903944085,-87.719480769
JE259126,06/09/2021 02:15:00 AM,HOMICIDE,41.742921834,-87.674539337
JD312535,07/28/2020 08:03:00 AM,HOMICIDE,41.856044402,-87.710523643
JE230500,05/15/2021 02:54:00 AM,HOMICIDE,41.931063831,-87.781350681
JE259510,06/09/2021 12:44:00 PM,HOMICIDE,41.751535302,-87.663464341
JE231076,05/15/2021 02:44:00 PM,HOMICIDE,41.775070039,-87.594044066
JE201790,04/17/2021 06:15:00 AM,HOMICIDE,41.678387951,-87.662495643
JE185655,03/31/2021 07:46:00 PM,HOMICIDE,41.883272556,-87.761645466
JE230612,05/15/2021 06:34:00 AM,HOMICIDE,41.751644163,-87.658618398
JE259268,06/09/2021 08:36:00 AM,HOMICIDE,41.882327675,-87.698778086
JE227034,05/15/2021 07:00:00 AM,HOMICIDE,41.737081272,-87.624176033
JE189401,04/04/2021 06:04:00 PM,HOMICIDE,41.945219715,-87.776479414
JE185249,03/31/2021 01:53:00 PM,HOMICIDE,41.887231852,-87.764276407
JE191618,04/17/2021 04:46:00 AM,HOMICIDE,41.884964505,-87.756456004
JD264558,06/15/2020 09:00:00 AM,HOMICIDE,41.728150772,-87.559050789
JE202539,04/18/2021 12:10:00 AM,HOMICIDE,41.808839679,-87.610191315
JE185470,04/01/2021 05:22:00 PM,HOMICIDE,41.783871363,-87.684988102
JD304982,07/21/2020 01:33:00 PM,HOMICIDE,41.776227084,-87.604618626
JE203407,04/18/2021 11:52:00 PM,HOMICIDE,41.8804407,-87.749684919
JE203123,04/18/2021 04:39:00 PM,HOMICIDE,41.86640116,-87.705973505
JD269005,06/19/2020 11:30:00 AM,HOMICIDE,41.746722963,-87.606322886
JE144478,02/18/2021 01:20:00 AM,HOMICIDE,41.695439061,-87.662589442
JD422083,11/05/2020 06:21:00 PM,HOMICIDE,41.768848052,-87.643804533
JE245666,05/28/2021 12:09:00 PM,HOMICIDE,41.743970443,-87.585797123
JE182083,03/28/2021 08:15:00 AM,HOMICIDE,41.998283492,-87.704554719
JE203270,04/19/2021 06:34:00 AM,HOMICIDE,41.892756481,-87.70891469
JE232513,05/17/2021 01:16:00 AM,HOMICIDE,41.778435506,-87.686065751
JD264558,06/15/2020 12:40:00 PM,HOMICIDE,41.728150772,-87.559050789
JD276207,06/25/2020 07:49:00 PM,HOMICIDE,41.742386338,-87.648660675
JE233110,05/17/2021 03:29:00 PM,HOMICIDE,41.886853702,-87.696437999
JE233523,05/17/2021 08:40:00 PM,HOMICIDE,41.671903369,-87.641710641
JE246853,05/29/2021 02:41:00 PM,HOMICIDE,41.858213965,-87.704772409
JE216512,05/01/2021 11:04:00 PM,HOMICIDE,41.678949434,-87.623921422
JD421565,11/05/2020 10:25:00 AM,HOMICIDE,41.866672427,-87.651033178
JE233708,05/18/2021 03:14:00 AM,HOMICIDE,41.696874196,-87.543783545
JE234690,05/18/2021 10:14:00 PM,HOMICIDE,41.88358253,-87.709430008
JE231725,05/18/2021 01:11:00 PM,HOMICIDE,41.826041149,-87.670286731
JD409259,10/24/2020 03:22:00 AM,HOMICIDE,41.905231197,-87.725166092
JD413988,10/29/2020 12:08:00 AM,HOMICIDE,41.750657714,-87.614956494
JE215628,05/01/2021 02:07:00 AM,HOMICIDE,41.843693383,-87.708668972
JE216511,05/01/2021 11:41:00 PM,HOMICIDE,41.791571822,-87.649949018
JE235752,05/19/2021 09:28:00 PM,HOMICIDE,41.766174746,-87.582878208
JD304271,07/21/2020 07:45:00 PM,HOMICIDE,41.888060953,-87.681724797
JD304906,07/21/2020 12:24:00 PM,HOMICIDE,41.878030124,-87.721524427
JE210365,04/26/2021 10:32:00 AM,HOMICIDE,41.84157078,-87.713497173
JE217202,05/02/2021 03:17:00 PM,HOMICIDE,41.889554831,-87.747086204
JE216691,05/02/2021 02:50:00 AM,HOMICIDE,41.873760261,-87.699795456
JD304542,07/21/2020 01:09:00 AM,HOMICIDE,41.654094008,-87.606801963
JE217141,05/02/2021 02:28:00 PM,HOMICIDE,41.896216334,-87.719999212
JE247247,05/30/2021 12:07:00 AM,HOMICIDE,41.918153458,-87.720457916
JE108028,01/09/2021 04:28:00 PM,HOMICIDE,41.724494263,-87.643297231
JE166179,03/12/2021 03:35:00 AM,HOMICIDE,41.847384418,-87.693218135
JE235091,05/19/2021 12:10:00 PM,HOMICIDE,41.759311656,-87.615142204
JE218605,05/03/2021 06:31:00 PM,HOMICIDE,41.754400648,-87.550635931
JE148664,02/22/2021 11:54:00 AM,HOMICIDE,41.759204719,-87.653961386
JE216669,05/02/2021 01:15:00 AM,HOMICIDE,41.85982778,-87.716448529
JD417014,10/31/2020 09:30:00 PM,HOMICIDE,41.86438533,-87.721970252
JE223102,05/20/2021 04:34:00 PM,HOMICIDE,41.838085292,-87.643190224
JE249189,05/31/2021 07:29:00 PM,HOMICIDE,41.894548755,-87.708967018
JE220914,05/05/2021 08:45:00 PM,HOMICIDE,41.877933236,-87.729141019
JE215086,04/30/2021 03:59:00 PM,HOMICIDE,41.749002933,-87.601481873
JE220047,05/05/2021 06:13:00 AM,HOMICIDE,41.827272785,-87.633198086
JD277294,06/26/2020 06:18:00 PM,HOMICIDE,41.884830727,-87.752781167
JE237167,05/21/2021 06:20:00 AM,HOMICIDE,41.876860157,-87.743912207
JD451003,12/06/2020 05:09:00 AM,HOMICIDE,41.897113439,-87.6597156
JE103396,01/04/2021 07:23:00 PM,HOMICIDE,41.751862382,-87.619787884
JD468564,12/24/2020 03:35:00 PM,HOMICIDE,41.891826532,-87.713029899
JD298408,07/15/2020 03:41:00 PM,HOMICIDE,41.767960994,-87.656618275
JD298408,07/15/2020 04:11:00 PM,HOMICIDE,41.767960994,-87.656618275
JE163151,03/08/2021 08:28:00 PM,HOMICIDE,41.894858704,-87.764396029
JE249894,06/01/2021 01:12:00 PM,HOMICIDE,41.728490137,-87.628849825
JE250398,06/01/2021 07:33:00 PM,HOMICIDE,41.884154496,-87.672833401
JE250309,06/01/2021 06:27:00 PM,HOMICIDE,41.810586428,-87.619628064
JE223095,05/07/2021 10:26:00 PM,HOMICIDE,41.881147603,-87.769790893
JE237102,05/21/2021 03:45:00 AM,HOMICIDE,41.761172356,-87.588430774
JD335093,08/17/2020 03:06:00 AM,HOMICIDE,41.847074361,-87.711205225
JE237082,05/21/2021 02:32:00 AM,HOMICIDE,41.784294223,-87.654620576
JE188599,04/04/2021 02:19:00 AM,HOMICIDE,41.88399199,-87.677998349
JE251565,06/02/2021 08:15:00 PM,HOMICIDE,41.750193697,-87.675879555
JE200739,05/21/2021 08:40:00 PM,HOMICIDE,41.701825336,-87.560798502
JE238122,05/21/2021 10:53:00 PM,HOMICIDE,41.890703831,-87.70640419
JE251377,06/02/2021 05:06:00 PM,HOMICIDE,41.779404922,-87.61200331
JE250561,06/02/2021 11:27:00 AM,HOMICIDE,41.879585586,-87.688817204
JD278156,06/27/2020 05:29:00 PM,HOMICIDE,41.812820409,-87.704159961
JE238122,05/22/2021 12:04:00 AM,HOMICIDE,41.890703831,-87.70640419
JE238268,05/22/2021 02:10:00 AM,HOMICIDE,41.8788547,-87.726943813
JE238268,05/22/2021 02:25:00 AM,HOMICIDE,41.8788547,-87.726943813
JE238194,05/22/2021 02:39:00 AM,HOMICIDE,41.871644264,-87.724107724
JE239109,05/22/2021 07:50:00 PM,HOMICIDE,41.793778713,-87.622443909
JE239400,05/23/2021 12:31:00 AM,HOMICIDE,41.88096768,-87.737940272
JE240387,05/23/2021 09:06:00 PM,HOMICIDE,41.809717284,-87.628198973
JE231510,05/23/2021 12:15:00 AM,HOMICIDE,41.876225829,-87.721791324
JE240300,05/23/2021 08:37:00 PM,HOMICIDE,41.872630278,-87.718598203
JE240387,05/23/2021 09:08:00 PM,HOMICIDE,41.809717284,-87.628198973
JE252857,06/03/2021 11:03:00 PM,HOMICIDE,41.77268594,-87.605758495
JD306169,07/22/2020 02:56:00 PM,HOMICIDE,41.940419827,-87.765226189
JE253029,06/04/2021 02:08:00 AM,HOMICIDE,41.889858855,-87.684222291
JE254042,06/04/2021 09:48:00 PM,HOMICIDE,41.791664664,-87.665738295
JE253944,06/04/2021 08:34:00 PM,HOMICIDE,41.907680799,-87.756347051
JE254066,06/04/2021 10:32:00 PM,HOMICIDE,41.866944067,-87.659859854
JD277859,06/27/2020 11:07:00 AM,HOMICIDE,41.86388134,-87.722665233
JD325772,08/09/2020 03:34:00 AM,HOMICIDE,41.771259454,-87.687091027
JE253095,06/05/2021 06:13:00 AM,HOMICIDE,41.768315814,-87.634744943
JE254231,06/05/2021 01:45:00 AM,HOMICIDE,41.904522401,-87.773016431
JE254898,06/05/2021 05:22:00 PM,HOMICIDE,41.776758052,-87.676275561
JE243057,06/05/2021 02:55:00 PM,HOMICIDE,41.762674166,-87.632145073
JE251462,06/05/2021 12:57:00 PM,HOMICIDE,41.806744563,-87.669062595
JD278060,06/27/2020 03:02:00 PM,HOMICIDE,41.782279374,-87.644844932
JD277897,06/27/2020 11:52:00 AM,HOMICIDE,41.901821751,-87.717748914
JD278154,06/27/2020 06:26:00 PM,HOMICIDE,41.756419349,-87.565110225
JD277737,06/27/2020 06:56:00 AM,HOMICIDE,41.790550302,-87.653076796
JD273788,06/23/2020 05:48:00 PM,HOMICIDE,41.792991176,-87.616713585
JD305672,07/22/2020 12:59:00 AM,HOMICIDE,41.673548279,-87.616795523
JD422229,11/06/2020 02:58:00 AM,HOMICIDE,41.888335787,-87.752911026
JD279573,06/28/2020 11:30:00 PM,HOMICIDE,41.884534799,-87.738391905
JD278523,06/28/2020 12:07:00 AM,HOMICIDE,41.837406177,-87.613473395
JD278682,06/28/2020 04:13:00 AM,HOMICIDE,41.904483983,-87.773016767
JD278820,06/28/2020 12:00:00 PM,HOMICIDE,41.845766385,-87.703840937
JD279430,06/28/2020 08:54:00 PM,HOMICIDE,41.673738001,-87.620384204
JD278793,06/28/2020 07:29:00 AM,HOMICIDE,42.00910309,-87.666968761
JD422430,11/06/2020 02:54:00 AM,HOMICIDE,41.772171112,-87.665592205
JD422410,11/06/2020 02:22:00 AM,HOMICIDE,41.769591156,-87.671227605
JD336194,08/18/2020 12:29:00 AM,HOMICIDE,41.912218383,-87.764319045
JD332746,08/18/2020 01:55:00 AM,HOMICIDE,41.857034887,-87.725340291
JD307079,07/23/2020 11:54:00 AM,HOMICIDE,41.875291694,-87.723650826
JD279607,06/29/2020 01:11:00 AM,HOMICIDE,41.897851784,-87.71639126
JD269919,06/29/2020 05:45:00 PM,HOMICIDE,41.865929482,-87.700034311
JD307805,07/23/2020 11:40:00 PM,HOMICIDE,41.675365264,-87.617273188
JD306704,07/23/2020 12:21:00 AM,HOMICIDE,41.773294408,-87.590204175
JD307805,07/23/2020 11:33:00 PM,HOMICIDE,41.675365264,-87.617273188
JD281257,06/30/2020 03:49:00 PM,HOMICIDE,41.84422802,-87.726492837
JD423602,11/07/2020 07:40:00 PM,HOMICIDE,41.899437761,-87.762518782
JD423611,11/07/2020 04:07:00 AM,HOMICIDE,41.763455518,-87.573332145
JD307901,07/24/2020 02:31:00 AM,HOMICIDE,41.897373941,-87.748311296
JD307899,07/24/2020 01:53:00 AM,HOMICIDE,41.954075613,-87.747318796
JD299102,07/17/2020 03:15:00 AM,HOMICIDE,41.69994781,-87.617963597
JD371629,09/18/2020 05:38:00 PM,HOMICIDE,41.741944792,-87.553942091
JD283915,07/02/2020 10:01:00 PM,HOMICIDE,41.842374565,-87.727328747
JD283992,07/02/2020 11:23:00 PM,HOMICIDE,41.893181298,-87.74466202
JD358974,09/06/2020 09:27:00 PM,HOMICIDE,41.822245225,-87.690948128
JD278523,07/02/2020 03:21:00 PM,HOMICIDE,41.837406177,-87.613473395
JD309011,07/25/2020 02:02:00 AM,HOMICIDE,41.75540448,-87.551356727
JD283381,07/02/2020 02:25:00 PM,HOMICIDE,41.823626536,-87.632892939
JD283493,07/02/2020 06:01:00 PM,HOMICIDE,41.735750871,-87.603669441
JD297679,07/07/2020 04:51:00 AM,HOMICIDE,41.690917943,-87.612967116
JD284525,07/03/2020 02:39:00 PM,HOMICIDE,41.789848438,-87.655977427
JB206060,06/19/2020 03:57:00 AM,HOMICIDE,41.774531367,-87.603362034
JD371894,09/18/2020 10:00:00 PM,HOMICIDE,41.889013548,-87.768862373
JD286080,07/04/2020 08:12:00 PM,HOMICIDE,41.760045188,-87.558256988
JD285337,07/04/2020 05:35:00 AM,HOMICIDE,41.837954218,-87.608109527
JD281257,07/04/2020 09:56:00 PM,HOMICIDE,41.84422802,-87.726492837
JD286197,07/04/2020 11:57:00 PM,HOMICIDE,41.782351338,-87.650926895
JD285368,07/04/2020 07:45:00 AM,HOMICIDE,41.776722357,-87.676272259
JD285927,07/04/2020 08:27:00 PM,HOMICIDE,41.883430189,-87.756400033
JD286161,07/04/2020 11:38:00 PM,HOMICIDE,41.743758645,-87.562465304
JD286197,07/04/2020 11:57:00 PM,HOMICIDE,41.782351338,-87.650926895
JD423568,11/07/2020 02:13:00 AM,HOMICIDE,41.892831474,-87.773485904
JD424303,11/07/2020 06:20:00 PM,HOMICIDE,42.016113932,-87.687517771
JD261141,06/11/2020 08:56:00 PM,HOMICIDE,41.858537826,-87.710319577
JD260325,06/11/2020 12:16:00 AM,HOMICIDE,41.85482707,-87.711236547
JD260738,06/11/2020 01:47:00 PM,HOMICIDE,41.765122822,-87.649569971
JD262632,06/13/2020 04:18:00 AM,HOMICIDE,41.905583777,-87.733766212
JD310803,07/26/2020 05:20:00 PM,HOMICIDE,41.819189282,-87.627104546
JD286197,07/05/2020 01:12:00 AM,HOMICIDE,41.782351338,-87.650926895
JD286365,07/05/2020 02:42:00 AM,HOMICIDE,41.738124069,-87.64218405
JD286307,07/05/2020 01:35:00 AM,HOMICIDE,41.860330052,-87.716462056
JD286197,07/05/2020 12:06:00 AM,HOMICIDE,41.782351338,-87.650926895
JD286854,07/05/2020 01:22:00 PM,HOMICIDE,41.906463081,-87.650429648
JD265132,06/15/2020 05:51:00 PM,HOMICIDE,41.878100723,-87.688777044
JD264907,06/15/2020 04:10:00 PM,HOMICIDE,41.728733999,-87.589171982
JD265196,06/15/2020 07:34:00 PM,HOMICIDE,41.688317671,-87.627783544
JD265529,06/16/2020 04:54:00 AM,HOMICIDE,42.019880645,-87.671912734
JD266423,06/16/2020 09:55:00 PM,HOMICIDE,41.875167792,-87.733474103
JD288756,07/06/2020 11:15:00 PM,HOMICIDE,41.862377709,-87.717055445
JD287599,07/06/2020 02:42:00 AM,HOMICIDE,41.869603434,-87.719636865
JD279158,07/06/2020 07:29:00 PM,HOMICIDE,41.769793473,-87.648164031
JD288470,07/06/2020 06:55:00 PM,HOMICIDE,41.874748699,-87.74262445
JD312037,07/27/2020 06:50:00 PM,HOMICIDE,41.726591198,-87.606399702
JD266563,06/17/2020 02:27:00 AM,HOMICIDE,41.780595495,-87.68367553
JD311203,07/27/2020 01:59:00 AM,HOMICIDE,41.737547633,-87.604847215
JD288916,07/07/2020 05:22:00 AM,HOMICIDE,41.969156817,-87.718277748
JD289163,07/07/2020 11:43:00 AM,HOMICIDE,41.753301733,-87.661899406
JD289040,07/07/2020 09:50:00 AM,HOMICIDE,41.65485777,-87.594875167
JD289242,07/07/2020 12:41:00 PM,HOMICIDE,41.817576519,-87.618372864
JD268199,06/18/2020 04:08:00 PM,HOMICIDE,41.775815434,-87.615515359
JD267578,06/18/2020 12:41:00 AM,HOMICIDE,41.733919847,-87.619305052
JD268307,06/18/2020 07:25:00 PM,HOMICIDE,41.877107968,-87.724088882
JD339269,08/20/2020 05:13:00 PM,HOMICIDE,41.771996408,-87.680074393
JD339602,08/20/2020 10:01:00 PM,HOMICIDE,41.891173111,-87.758320983
JD279940,06/29/2020 11:04:00 AM,HOMICIDE,41.99233654,-87.782476935
JD312455,07/28/2020 03:56:00 AM,HOMICIDE,41.869565495,-87.743292654
JD268744,06/19/2020 03:57:00 AM,HOMICIDE,41.751317093,-87.602456059
JD269712,06/19/2020 10:49:00 PM,HOMICIDE,41.874370396,-87.724313156
JD268650,06/19/2020 12:10:00 AM,HOMICIDE,41.779013043,-87.615597022
JD289973,07/08/2020 12:45:00 PM,HOMICIDE,41.819531596,-87.704420779
JD270626,06/20/2020 05:10:00 PM,HOMICIDE,41.751006432,-87.569876598
JD270696,06/20/2020 07:45:00 PM,HOMICIDE,41.892020064,-87.765284324
JD270774,06/20/2020 09:04:00 PM,HOMICIDE,41.899122381,-87.753250466
JD270626,06/20/2020 05:46:00 PM,HOMICIDE,41.751006432,-87.569876598
JD270705,06/20/2020 07:30:00 PM,HOMICIDE,41.916251505,-87.687379232
JD312466,07/28/2020 04:41:00 AM,HOMICIDE,41.874189322,-87.738458484
JD372631,09/19/2020 05:02:00 PM,HOMICIDE,41.865669877,-87.721499106
JD271562,06/21/2020 11:26:00 PM,HOMICIDE,41.793129208,-87.692566435
JD270982,06/21/2020 12:19:00 AM,HOMICIDE,41.904789104,-87.692814025
JD331615,08/14/2020 12:33:00 AM,HOMICIDE,41.696827166,-87.649001304
JD291374,07/10/2020 11:07:00 AM,HOMICIDE,41.985999837,-87.655266727
JD290772,07/09/2020 05:29:00 AM,HOMICIDE,41.87196963,-87.744930121
JD292038,07/09/2020 10:08:00 PM,HOMICIDE,41.913987651,-87.731339855
JD314196,07/29/2020 04:20:00 PM,HOMICIDE,41.747528541,-87.573472386
JD292434,07/10/2020 11:24:00 AM,HOMICIDE,41.904464096,-87.726966035
JD292901,07/10/2020 05:37:00 PM,HOMICIDE,41.716712572,-87.561103723
JD293053,07/10/2020 07:17:00 PM,HOMICIDE,41.831439499,-87.667978067
JD292133,07/10/2020 12:45:00 PM,HOMICIDE,41.692378887,-87.621046145
JD372683,09/20/2020 01:14:00 AM,HOMICIDE,41.769301757,-87.682051919
JD271657,06/21/2020 08:12:00 PM,HOMICIDE,41.994762542,-87.708043656
JD294263,07/11/2020 08:52:00 PM,HOMICIDE,41.768126764,-87.655410518
JD293411,07/11/2020 02:19:00 AM,HOMICIDE,41.873844864,-87.763062329
JD293383,07/11/2020 01:21:00 AM,HOMICIDE,41.766310455,-87.615276756
JD293401,07/11/2020 01:45:00 AM,HOMICIDE,41.888347284,-87.667061014
JD278448,06/28/2020 02:25:00 AM,HOMICIDE,41.919138213,-87.714749604
JD291694,07/09/2020 04:06:00 PM,HOMICIDE,41.874574905,-87.754845736
JD340917,08/22/2020 02:18:00 AM,HOMICIDE,41.740514279,-87.54538536
JD373401,09/20/2020 01:33:00 PM,HOMICIDE,41.768270151,-87.687443611
JD295318,07/12/2020 10:10:00 PM,HOMICIDE,41.773402849,-87.643682432
JD294463,07/12/2020 01:12:00 AM,HOMICIDE,41.901644368,-87.718959143
JD295381,07/12/2020 11:54:00 PM,HOMICIDE,41.765356327,-87.673547448
JD341021,08/22/2020 08:42:00 AM,HOMICIDE,41.845592238,-87.711164533
JD295766,07/13/2020 11:11:00 AM,HOMICIDE,41.794291682,-87.625966072
JD286109,07/13/2020 08:08:00 PM,HOMICIDE,41.840033109,-87.729299505
JD296544,07/13/2020 11:21:00 PM,HOMICIDE,41.74828207,-87.6342366
JD295423,07/13/2020 12:49:00 AM,HOMICIDE,41.860253255,-87.710369003
JD295463,07/13/2020 02:02:00 AM,HOMICIDE,41.772339842,-87.611800196
JD316691,07/31/2020 07:59:00 PM,HOMICIDE,41.898846701,-87.641985392
JD297074,07/14/2020 01:22:00 PM,HOMICIDE,41.759370775,-87.634519431
JD297681,07/14/2020 10:49:00 PM,HOMICIDE,41.846247306,-87.711521531
JD373100,09/20/2020 03:20:00 AM,HOMICIDE,41.751100797,-87.58505475
JD317039,08/01/2020 03:38:00 AM,HOMICIDE,41.883198401,-87.739461917
JD316965,08/01/2020 12:47:00 AM,HOMICIDE,41.793841661,-87.62020258
